setup	w	slim_burnin_seed	slim_demography_seed	deviating_pop	opt_of_dev_pop	opt_of_p6	opt_of_UK	fitness_w_dev_pop	fitness_w_UK
1	INF	3912939459551	916627179070	-1	0	0	0	INF	INF
7	3	9090981991029	635690074414	5	10	0	0	3	INF
8	3	9090981991029	61342622712253	5	10	0	0	3	INF
9	3	9090981991029	5632138159125	5	5	0	0	3	INF
10	3	9090981991029	94478035438804	5	2.5	0	0	3	INF
11	3	9090981991029	96309717278926	4	10	0	0	3	INF
12	3	9090981991029	26673426455817	4	5	0	0	3	INF
13	3	9090981991029	77586858766152	4	2.5	0	0	3	INF
14	3	9090981991029	25587341445497	3	10	0	0	3	INF
15	3	9090981991029	93739110603927	3	5	0	0	3	INF
16	3	9090981991029	87539910478516	3	2.5	0	0	3	INF
17	3	9090981991029	17438804497942	-1	0	0	0	INF	INF
18	INF	3912939459551	30041384440846	-1	0	0	0	INF	INF
19	INF	3912939459551	98401911603285	-1	0	0	0	INF	INF
20	INF	3912939459551	56782644032500	-1	0	0	0	INF	INF
21	INF	3912939459551	85907047288491	-1	0	0	0	INF	INF
22	10	83791899494827	162359540816396	5	10	0	0	10	INF
23	10	83791899494827	148781130090356	5	5	0	0	10	INF
24	10	83791899494827	27969881193712	5	2.5	0	0	10	INF
25	10	83791899494827	59085806366056	4	10	0	0	10	INF
26	10	83791899494827	867311899084598	4	5	0	0	10	INF
27	10	83791899494827	110964846331626	4	2.5	0	0	10	INF
28	10	83791899494827	545583493076265	3	10	0	0	10	INF
29	10	83791899494827	372408125549555	3	5	0	0	10	INF
30	10	83791899494827	759713777573779	3	2.5	0	0	10	INF
31	10	83791899494827	235729060368612	-1	0	0	0	INF	INF
32	10	83791899494827	59085806366056	4	10	7.8	0	10	INF
33	10	83791899494827	110964846331626	4	2.5	1.95	0	10	INF
34	10	83791899494827	545583493076265	3	10	2.2	0	10	INF
35	10	83791899494827	759713777573779	3	2.5	0.55	0	10	INF
36	10	83791899494827	59085806366056	4	10	7.8	4.212	10	10
37	10	83791899494827	110964846331626	4	2.5	1.95	1.053	10	10
38	10	83791899494827	545583493076265	3	10	2.2	1.188	10	10
39	10	83791899494827	759713777573779	3	2.5	0.55	0.297	10	10
